overallIndex,name,browseNodeID,Level,Category Path,Book1Rank,Book100Rank,nLast30Days,top100URL,last30URL,preordersURL,parentName,parentBrowseNodeID,topLevelCategoryName,fullName,alsoKnownAs
8332,Dance,15249005011,5,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Art & Music > Performing Arts > Dance,54082,2950453,2,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Dance-Fiction-eBooks/zgbs/digital-text/15249005011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249005011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249005011,p_n_date:1249102011",Performing Arts,15249004011,Teen & Young Adult,Teen & Young Adult Dance Fiction eBooks,
8333,Film,15249006011,5,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Art & Music > Performing Arts > Film,32467,3266165,2,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Film-Fiction-eBooks/zgbs/digital-text/15249006011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249006011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249006011,p_n_date:1249102011",Performing Arts,15249004011,Teen & Young Adult,Teen & Young Adult Film Fiction eBooks,
8334,Music,15249008011,5,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Art & Music > Performing Arts > Music,14202,1244291,8,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Music-Fiction-eBooks/zgbs/digital-text/15249008011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249008011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249008011,p_n_date:1249102011",Performing Arts,15249004011,Teen & Young Adult,Teen & Young Adult Music Fiction eBooks,
8335,TV & Radio,15249009011,5,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Art & Music > Performing Arts > TV & Radio,119631,5214881,2,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-TV-Radio-Fiction-eBooks/zgbs/digital-text/15249009011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249009011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249009011,p_n_date:1249102011",Performing Arts,15249004011,Teen & Young Adult,Teen & Young Adult TV & Radio Fiction eBooks,
8336,Theater & Musicals,15249010011,5,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Art & Music > Performing Arts > Theater & Musicals,32467,2069091,6,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Theater-Musicals-Fiction-eBooks/zgbs/digital-text/15249010011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249010011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249010011,p_n_date:1249102011",Performing Arts,15249004011,Teen & Young Adult,Teen & Young Adult Theater & Musicals Fiction eBooks,
8301,Books & Libraries,15249011011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Books & Libraries,95278,2314013,18,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Books-Libraries-Fiction-eBooks/zgbs/digital-text/15249011011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249011011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249011011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult Books & Libraries Fiction eBooks,
8302,Careers,15249012011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Careers,51661,3199113,13,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Careers-Fiction-eBooks/zgbs/digital-text/15249012011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249012011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249012011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult Careers Fiction eBooks,
8303,Classics,6110892011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Classics,5965,263858,87,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Classic-eBooks/zgbs/digital-text/6110892011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A6110892011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A6110892011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult Classic eBooks,
8304,Coming of Age,15249013011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Coming of Age,1940,146077,160,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Coming-of-Age-Fiction-eBooks/zgbs/digital-text/15249013011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249013011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249013011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult Coming of Age Fiction eBooks,
8305,Fiction,7006624011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Fiction,7328,147524,87,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-LGBTQ-Fiction/zgbs/digital-text/7006624011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006624011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006624011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult LGBTQ+ Fiction,Kindle eBooks > Teen & Young Adult > LGBTQ+ > Fiction
8306,Geography & Cultures,15249015011,3,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Geography & Cultures,5165,222981,102,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Geography-Cultures-Fiction-eBooks/zgbs/digital-text/15249015011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249015011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249015011,p_n_date:1249102011",Literature & Fiction,6064561011,Teen & Young Adult,Teen & Young Adult Geography & Cultures Fiction eBooks,
8337,Africa,15249017011,4,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Geography & Cultures > Africa,14050,3210552,4,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-African-Geography-Cultures-Fiction-eBooks/zgbs/digital-text/15249017011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249017011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249017011,p_n_date:1249102011",Geography & Cultures,15249015011,Teen & Young Adult,Teen & Young Adult African Geography & Cultures Fiction eBooks,
8338,Asia,15249018011,4,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Geography & Cultures > Asia,8753,1519787,7,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Asian-Geography-Cultures-Fiction-eBooks/zgbs/digital-text/15249018011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249018011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249018011,p_n_date:1249102011",Geography & Cultures,15249015011,Teen & Young Adult,Teen & Young Adult Asian Geography & Cultures Fiction eBooks,
8339,Australia,15249019011,4,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Geography & Cultures > Australia,323689,4652607,1,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Australian-Geography-Cultures-Fiction-eBooks/zgbs/digital-text/15249019011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249019011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249019011,p_n_date:1249102011",Geography & Cultures,15249015011,Teen & Young Adult,Teen & Young Adult Australian Geography & Cultures Fiction eBooks,
8340,Canada,15249020011,4,Kindle eBooks > Teen & Young Adult > Literature & Fiction > Geography & Cultures > Canada,259370,5126166,2,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Canadian-Geography-Cultures-Fiction-eBooks/zgbs/digital-text/15249020011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15249020011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15249020011,p_n_date:1249102011",Geography & Cultures,15249015011,Teen & Young Adult,Teen & Young Adult Canadian Geography & Cultures Fiction eBooks,
